剧名,集数,制作,首播,主演,题材
你的名字我的姓氏,40,2016,7月26日 腾讯视频/爱奇艺,杨玏、张雪迎、张超、米露,都市
上游,36,2019,8月2日 优酷,王瑞昌、胡意旋、陈博豪、戚砚笛,青春
原来我很爱你,24,2020,8月3日 爱奇艺,林彦俊、万鹏,都市
与君歌,49,2020,8月8日 湖南卫视金鹰独播剧场,成毅、张予曦、韩栋、宣璐,古装
亲爱的爸妈,43,2020,8月10日 北京卫视,闫妮、王砚辉,都市
理想之城,40,2020,8月12日 东方卫视/央视八套,孙俪、赵又廷、于和伟,都市
天龙八部,56,2018,8月14日 央视八套（22ː17）,杨祐宁、文咏珊、白澍、张天阳,古装
世界微尘里,22,2020,8月16日 爱奇艺,吴宣仪、毕雯珺、翟潇闻、张柏嘉,都市
乔家的儿女,36,2020,8月17日 浙江/江苏卫视,白宇、宋祖儿、毛晓彤、张晚意,都市
周生如故,24,2020,8月18日 爱奇艺首播，12月18日 安徽卫视上星,任嘉伦、白鹿,古装
无忧面包店（第二部）,24,2019,8月23日 重庆卫视,范朵朵、王孟启,青少
